School Site,Standard Exceeded,Standard Met,Standard Nearly Met,Standard Not Met
John O'Connell High,7,22,31,29
Mission High,8,23,21,49
Everett Middle ,16,23,21,40
Buena Vista Horace Mann K-8,45,21,19,14
Marshall Elementary,12,24,27,37
Leonard R. Flynn Elementary,7,14,20,58
George R. Moscone Elementary,22,20,32,26
Bryant Elementary,8,22,31,38
César Chávez Elementary,5,16,26,53
Sanchez Elementary,6,12,18,65
